Jenis Kelamin	Masa Kerja	PL1	PL2	PL3	PL4	PL5	PD1	PD2	PD3	PD4	PD5	PD6	PD7	PG1	PG2	PG3	PG4	PS1	PS2	PS3	PK1	PK2	PK3	PK4	Lingkungan	Disiplin	Gaji	Semangat	Kinerja
Perempuan	5-10 Tahun	4	5	4	4	4	3	4	2	4	3	2	2	2	4	4	4	2	4	4	4	3	4	5	4.2	2.86	3.5	3.33	4
Perempuan	> 10 Tahun	3	2	1	5	3	4	4	3	5	5	3	3	3	4	2	4	3	2	4	4	4	2	4	2.8	3.86	3.25	3	3.5
Perempuan	< 5 Tahun	4	3	2	1	2	4	5	5	4	4	4	4	4	4	3	5	5	3	4	2	4	3	2	2.4	4.29	4	4	2.75
Perempuan	5-10 Tahun	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
Perempuan	> 10 Tahun	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Perempuan	< 5 Tahun	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Laki-Laki	5-10 Tahun	3	4	2	4	3	2	4	2	2	2	2	5	4	3	4	1	4	3	2	3	4	3	2	3.2	2.71	3	3	3
Perempuan	> 10 Tahun	4	4	3	5	5	3	4	3	3	3	3	2	2	4	2	2	2	4	3	4	1	4	3	4.2	3	2.5	3	3
Laki-Laki	< 5 Tahun	1	5	3	2	2	4	5	5	4	4	4	3	3	4	3	3	3	2	4	2	2	2	4	2.6	4.14	3.25	3	2.5
Laki-Laki	5-10 Tahun	2	1	2	3	3	2	2	2	2	4	2	3	4	5	5	4	4	3	4	3	3	3	2	2.2	2.43	4.5	3.67	2.75
Perempuan	< 5 Tahun	3	2	3	4	3	3	3	3	4	4	3	3	2	2	2	2	4	4	5	5	4	4	3	3	3.29	2	4.33	4
Perempuan	< 5 Tahun	4	3	4	1	4	4	4	3	4	2	3	4	3	3	3	4	4	2	2	2	2	4	4	3.2	3.43	3.25	2.67	3
Perempuan	5-10 Tahun	2	4	2	2	2	5	4	4	4	5	4	2	4	4	3	4	2	3	3	3	4	4	2	2.4	4	3.75	2.67	3.25
Laki-Laki	> 10 Tahun	3	4	3	3	3	2	2	2	3	3	4	3	5	4	5	5	3	4	4	3	4	2	3	3.2	2.71	4.75	3.67	3
Perempuan	< 5 Tahun	4	5	5	4	4	3	3	3	4	4	5	3	2	2	2	3	3	5	1	4	2	3	4	4.4	3.57	2.25	3	3.25
Perempuan	5-10 Tahun	2	2	2	2	4	1	2	2	1	1	2	2	3	3	4	4	4	4	4	2	2	1	1	2.4	1.57	3.5	4	1.5
Laki-Laki	> 10 Tahun	3	3	3	4	4	2	2	4	2	2	3	3	5	4	4	5	4	3	3	3	4	4	2	3.4	2.57	4.5	3.33	3.25
Laki-Laki	< 5 Tahun	4	4	3	4	2	3	4	4	2	3	3	3	2	2	4	2	2	5	4	4	4	4	3	3.4	3.14	2.5	3.67	3.75
Perempuan	5-10 Tahun	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
Perempuan	> 10 Tahun	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Perempuan	< 5 Tahun	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Laki-Laki	< 5 Tahun	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Laki-Laki	5-10 Tahun	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Laki-Laki	5-10 Tahun	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Perempuan	5-10 Tahun	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Perempuan	5-10 Tahun	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Perempuan	> 10 Tahun	2	3	3	3	2	2	3	3	2	3	3	2	2	2	3	3	3	4	2	3	2	2	3	2.6	2.57	2.5	3	2.5
Laki-Laki	> 10 Tahun	2	4	4	3	3	1	3	2	1	2	2	1	3	2	4	4	3	2	2	3	3	3	4	3.2	1.71	3.25	2.33	3.25
Laki-Laki	> 10 Tahun	3	1	1	3	4	5	3	3	5	4	2	4	4	3	2	1	3	3	2	4	4	3	2	2.4	3.71	2.5	2.67	3.25
Perempuan	< 5 Tahun	3	2	2	1	5	2	3	4	4	2	5	4	5	3	3	1	1	4	3	2	1	3	3	2.6	3.43	3	2.67	2.25
Perempuan	5-10 Tahun	4	2	3	2	2	2	1	2	2	3	2	2	2	3	4	4	2	5	3	3	1	1	4	2.6	2	3.25	3.33	2.25
Perempuan	> 10 Tahun	2	2	3	3	3	4	4	4	5	4	4	3	3	1	5	4	3	2	3	4	4	2	5	2.6	4	3.25	2.67	3.75
Perempuan	> 10 Tahun	3	2	4	4	3	2	3	3	2	2	2	4	4	2	2	5	4	3	1	5	4	3	2	3.2	2.57	3.25	2.67	3.5
Perempuan	< 5 Tahun	4	3	2	1	3	3	4	3	3	3	3	4	2	3	3	2	2	4	2	2	5	4	3	2.6	3.29	2.5	2.67	3.5
Laki-Laki	< 5 Tahun	3	3	3	1	1	2	1	2	2	2	3	2	3	4	3	3	3	2	3	3	2	2	4	2.2	2	3.25	2.67	2.75
Laki-Laki	5-10 Tahun	2	3	4	4	2	2	1	1	2	2	2	2	4	4	5	4	4	3	4	3	3	3	2	3	1.71	4.25	3.67	2.75
Laki-Laki	> 10 Tahun	3	1	5	4	3	3	4	4	4	4	4	4	2	1	1	4	2	4	1	3	4	4	3	3.2	3.86	2	2.33	3.5
Perempuan	> 10 Tahun	4	2	2	5	4	3	4	3	4	3	3	3	3	4	2	4	4	2	1	1	4	2	4	3.4	3.29	3.25	2.33	2.75
Perempuan	> 10 Tahun	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Perempuan	< 5 Tahun	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Perempuan	< 5 Tahun	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Perempuan	< 5 Tahun	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Perempuan	< 5 Tahun	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Perempuan	< 5 Tahun	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Laki-Laki	5-10 Tahun	4	5	4	5	2	2	3	4	5	2	3	3	4	4	4	4	2	3	4	2	1	3	2	4	3.14	4	3	2
Perempuan	> 10 Tahun	2	2	2	3	2	4	2	5	4	3	4	4	4	4	4	2	5	4	4	4	4	2	3	2.2	3.71	3.5	4.33	3.25
Laki-Laki	> 10 Tahun	3	3	3	2	5	5	4	4	5	4	2	2	5	3	3	3	4	4	4	4	2	4	4	3.2	3.71	3.5	4	3.5
Laki-Laki	5-10 Tahun	2	4	4	2	4	2	3	3	2	2	2	2	5	4	4	4	3	4	4	3	3	3	2	3.2	2.29	4.25	3.67	2.75
Perempuan	5-10 Tahun	3	4	2	1	3	3	2	3	4	5	3	3	4	4	4	4	4	4	4	3	4	4	3	2.6	3.29	4	4	3.5
Perempuan	5-10 Tahun	4	4	4	4	2	2	5	4	5	5	5	5	5	3	4	3	4	3	5	2	2	4	4	3.6	4.43	3.75	4	3
